root_script: extract_edges.sbat
Requirement already satisfied: decorator==5.1.0 in /home/casonk/.local/lib/python3.9/site-packages (5.1.0)
WARNING: You are using pip version 21.2.4; however, version 22.2.2 is available.
You should consider upgrading via the '/sw/arcts/centos7/python/3.9.7/bin/python3.9 -m pip install --upgrade pip' command.
Requirement already satisfied: pandas==1.4.2 in /home/casonk/.local/lib/python3.9/site-packages (1.4.2)
Requirement already satisfied: numpy>=1.18.5 in /home/casonk/.local/lib/python3.9/site-packages (from pandas==1.4.2) (1.22.3)
Requirement already satisfied: pytz>=2020.1 in /home/casonk/.local/lib/python3.9/site-packages (from pandas==1.4.2) (2022.1)
Requirement already satisfied: python-dateutil>=2.8.1 in /home/casonk/.local/lib/python3.9/site-packages (from pandas==1.4.2) (2.8.2)
Requirement already satisfied: six>=1.5 in /sw/arcts/centos7/python/3.9.7/lib/python3.9/site-packages (from python-dateutil>=2.8.1->pandas==1.4.2) (1.16.0)
WARNING: You are using pip version 21.2.4; however, version 22.2.2 is available.
You should consider upgrading via the '/sw/arcts/centos7/python/3.9.7/bin/python3.9 -m pip install --upgrade pip' command.

/sw/arcts/centos7/python/3.9.7/bin/python

spinning up at: Fri Aug  5 21:46:31 EDT 2022
Job submitted by gl-login1.arc-ts.umich.edu
Job ID 40521238
Running on gl[3226-3227]
Running in /home/casonk/path/mmani_root/mmani0/shared_data/pushshift_python/Great_Lakes_HPC/pys/insurrection 

1 2020-11-20 SUBSETT
1 2020-11-20 AUTHSETT
1 2020-11-21 LEVEL_MAPPED
1 2020-11-21 CSPPED
1 2020-11-21 CAPPED
1 2020-11-21 SUBSETT
1 2020-11-21 AUTHSETT
1 2020-11-22 LEVEL_MAPPED
1 2020-11-22 CSPPED
1 2020-11-22 CAPPED
1 2020-11-22 SUBSETT
1 2020-11-22 AUTHSETT
1 2020-11-23 LEVEL_MAPPED
1 2020-11-23 CSPPED
1 2020-11-23 CAPPED
1 2020-11-23 SUBSETT
1 2020-11-23 AUTHSETT
1 2020-11-24 LEVEL_MAPPED
1 2020-11-24 CSPPED
1 2020-11-24 CAPPED
1 2020-11-24 SUBSETT
1 2020-11-24 AUTHSETT
1 2020-11-25 LEVEL_MAPPED
1 2020-11-25 CSPPED
1 2020-11-25 CAPPED
1 2020-11-25 SUBSETT
1 2020-11-25 AUTHSETT
1 2020-11-26 LEVEL_MAPPED
1 2020-11-26 CSPPED
1 2020-11-26 CAPPED
1 2020-11-26 SUBSETT
1 2020-11-26 AUTHSETT
1 2020-11-27 LEVEL_MAPPED
1 2020-11-27 CSPPED
1 2020-11-27 CAPPED
1 2020-11-27 SUBSETT
1 2020-11-27 AUTHSETT
1 2020-11-28 LEVEL_MAPPED
1 2020-11-28 CSPPED
1 2020-11-28 CAPPED
1 2020-11-28 SUBSETT
1 2020-11-28 AUTHSETT
1 2020-11-29 LEVEL_MAPPED
1 2020-11-29 CSPPED
1 2020-11-29 CAPPED
1 2020-11-29 SUBSETT
1 2020-11-29 AUTHSETT
1 2020-11-30 LEVEL_MAPPED
1 2020-11-30 CSPPED
1 2020-11-30 CAPPED
1 2020-11-30 SUBSETT
1 2020-11-30 AUTHSETT
1 2020-12-01 LEVEL_MAPPED
1 2020-12-01 CSPPED
1 2020-12-01 CAPPED
1 2020-12-01 SUBSETT
1 2020-12-01 AUTHSETT
1 2020-12-02 LEVEL_MAPPED
1 2020-12-02 CSPPED
1 2020-12-02 CAPPED
1 2020-12-02 SUBSETT
1 2020-12-02 AUTHSETT
1 2020-12-03 LEVEL_MAPPED
1 2020-12-03 CSPPED
1 2020-12-03 CAPPED
1 2020-12-03 SUBSETT
1 2020-12-03 AUTHSETT
1 2020-12-04 LEVEL_MAPPED
1 2020-12-04 CSPPED
1 2020-12-04 CAPPED
1 2020-12-04 SUBSETT
1 2020-12-04 AUTHSETT
1 2020-12-05 LEVEL_MAPPED
1 2020-12-05 CSPPED
1 2020-12-05 CAPPED
1 2020-12-05 SUBSETT
1 2020-12-05 AUTHSETT
1 2020-12-06 LEVEL_MAPPED
1 2020-12-06 CSPPED
1 2020-12-06 CAPPED
1 2020-12-06 SUBSETT
1 2020-12-06 AUTHSETT
1 2020-12-07 LEVEL_MAPPED
1 2020-12-07 CSPPED
1 2020-12-07 CAPPED
1 2020-12-07 SUBSETT
1 2020-12-07 AUTHSETT
1 2020-12-08 LEVEL_MAPPED
1 2020-12-08 CSPPED
1 2020-12-08 CAPPED
1 2020-12-08 SUBSETT
1 2020-12-08 AUTHSETT
1 2020-12-09 LEVEL_MAPPED
1 2020-12-09 CSPPED
1 2020-12-09 CAPPED
1 2020-12-09 SUBSETT
